0,89,2010-01-01 00:00:00,2010-01-01 01:37:00,1,5209131129,1
1,86,2010-01-01 02:06:08.640000,2010-01-01 03:37:08.640000,2,0012278051,12
2,91,2010-01-01 04:12:17.280000,2010-01-01 05:44:17.280000,3,9511119338,11
3,108,2010-01-01 06:18:25.920000,2010-01-01 08:10:25.920000,4,5206271046,6
4,93,2010-01-01 08:24:34.560000,2010-01-01 10:10:34.560000,5,4801234636,7
5,84,2010-01-01 10:30:43.200000,2010-01-01 12:06:43.200000,6,9403031453,2
6,103,2010-01-01 12:36:51.840000,2010-01-01 14:31:51.840000,7,4702097588,6
7,93,2010-01-01 14:43:00.480000,2010-01-01 16:22:00.480000,8,6812127791,10
8,101,2010-01-01 16:49:09.120000,2010-01-01 18:32:09.120000,9,9806088487,9
9,86,2010-01-01 18:55:17.760000,2010-01-01 20:23:17.760000,10,5209131129,5
10,87,2010-01-01 21:01:26.400000,2010-01-01 22:43:26.400000,1,0012278051,12
11,98,2010-01-01 23:07:35.040000,2010-01-02 01:03:35.040000,2,9511119338,1
12,100,2010-01-02 01:13:43.680000,2010-01-02 03:10:43.680000,3,5206271046,7
13,87,2010-01-02 03:19:52.320000,2010-01-02 04:48:52.320000,4,4801234636,5
14,80,2010-01-02 05:26:00.960000,2010-01-02 07:02:00.960000,5,9403031453,1
15,104,2010-01-02 07:32:09.600000,2010-01-02 09:23:09.600000,6,4702097588,5
16,106,2010-01-02 09:38:18.240000,2010-01-02 11:24:18.240000,7,6812127791,1
17,100,2010-01-02 11:44:26.880000,2010-01-02 13:32:26.880000,8,9806088487,1
18,108,2010-01-02 13:50:35.520000,2010-01-02 15:47:35.520000,9,5209131129,3
19,94,2010-01-02 15:56:44.160000,2010-01-02 17:42:44.160000,10,0012278051,7
20,84,2010-01-02 18:02:52.800000,2010-01-02 19:26:52.800000,1,9511119338,4
21,106,2010-01-02 20:09:01.440000,2010-01-02 22:12:01.440000,2,5206271046,1
22,105,2010-01-02 22:15:10.080000,2010-01-03 00:00:10.080000,3,4801234636,11
23,89,2010-01-03 00:21:18.720000,2010-01-03 02:06:18.720000,4,9403031453,1
24,110,2010-01-03 02:27:27.360000,2010-01-03 04:29:27.360000,5,4702097588,12
25,106,2010-01-03 04:33:36,2010-01-03 06:37:36,6,6812127791,7
26,89,2010-01-03 06:39:44.640000,2010-01-03 08:28:44.640000,7,9806088487,11
27,104,2010-01-03 08:45:53.280000,2010-01-03 10:29:53.280000,8,5209131129,5
28,108,2010-01-03 10:52:01.920000,2010-01-03 12:59:01.920000,9,0012278051,10
29,84,2010-01-03 12:58:10.560000,2010-01-03 14:29:10.560000,10,9511119338,8
30,93,2010-01-03 15:04:19.200000,2010-01-03 16:56:19.200000,1,5206271046,6
31,105,2010-01-03 17:10:27.840000,2010-01-03 19:02:27.840000,2,4801234636,6
32,83,2010-01-03 19:16:36.480000,2010-01-03 20:58:36.480000,3,9403031453,4
33,92,2010-01-03 21:22:45.120000,2010-01-03 23:08:45.120000,4,4702097588,3
34,102,2010-01-03 23:28:53.760000,2010-01-04 01:30:53.760000,5,6812127791,4
35,91,2010-01-04 01:35:02.400000,2010-01-04 03:18:02.400000,6,9806088487,12
36,85,2010-01-04 03:41:11.040000,2010-01-04 05:19:11.040000,7,5209131129,1
37,105,2010-01-04 05:47:19.680000,2010-01-04 07:39:19.680000,8,0012278051,8
38,103,2010-01-04 07:53:28.320000,2010-01-04 09:49:28.320000,9,9511119338,11
39,103,2010-01-04 09:59:36.960000,2010-01-04 11:53:36.960000,10,5206271046,7
40,95,2010-01-04 12:05:45.600000,2010-01-04 13:59:45.600000,1,4801234636,8
41,82,2010-01-04 14:11:54.240000,2010-01-04 15:47:54.240000,2,9403031453,8
42,86,2010-01-04 16:18:02.880000,2010-01-04 17:50:02.880000,3,4702097588,7
43,107,2010-01-04 18:24:11.520000,2010-01-04 20:30:11.520000,4,6812127791,10
44,86,2010-01-04 20:30:20.160000,2010-01-04 22:03:20.160000,5,9806088487,6
45,103,2010-01-04 22:36:28.800000,2010-01-05 00:34:28.800000,6,5209131129,8
46,100,2010-01-05 00:42:37.440000,2010-01-05 02:36:37.440000,7,0012278051,7
47,95,2010-01-05 02:48:46.080000,2010-01-05 04:29:46.080000,8,9511119338,12
48,110,2010-01-05 04:54:54.720000,2010-01-05 06:50:54.720000,9,5206271046,10
49,81,2010-01-05 07:01:03.360000,2010-01-05 08:35:03.360000,10,4801234636,7
50,90,2010-01-05 09:07:12,2010-01-05 10:41:12,1,9403031453,8
51,100,2010-01-05 11:13:20.640000,2010-01-05 13:08:20.640000,2,4702097588,2
52,100,2010-01-05 13:19:29.280000,2010-01-05 15:01:29.280000,3,6812127791,3
53,105,2010-01-05 15:25:37.920000,2010-01-05 17:30:37.920000,4,9806088487,12
54,91,2010-01-05 17:31:46.560000,2010-01-05 19:13:46.560000,5,5209131129,11
55,96,2010-01-05 19:37:55.200000,2010-01-05 21:32:55.200000,6,0012278051,9
56,108,2010-01-05 21:44:03.840000,2010-01-05 23:43:03.840000,7,9511119338,4
57,81,2010-01-05 23:50:12.480000,2010-01-06 01:20:12.480000,8,5206271046,5
58,82,2010-01-06 01:56:21.120000,2010-01-06 03:33:21.120000,9,4801234636,7
59,107,2010-01-06 04:02:29.760000,2010-01-06 05:57:29.760000,10,9403031453,4
60,86,2010-01-06 06:08:38.400000,2010-01-06 07:39:38.400000,1,4702097588,5
61,105,2010-01-06 08:14:47.040000,2010-01-06 10:13:47.040000,2,6812127791,3
62,102,2010-01-06 10:20:55.680000,2010-01-06 12:02:55.680000,3,9806088487,5
63,83,2010-01-06 12:27:04.320000,2010-01-06 14:04:04.320000,4,5209131129,7
64,101,2010-01-06 14:33:12.960000,2010-01-06 16:30:12.960000,5,0012278051,6
65,107,2010-01-06 16:39:21.600000,2010-01-06 18:30:21.600000,6,9511119338,10
66,92,2010-01-06 18:45:30.240000,2010-01-06 20:18:30.240000,7,5206271046,11
67,99,2010-01-06 20:51:38.880000,2010-01-06 22:48:38.880000,8,4801234636,8
68,104,2010-01-06 22:57:47.520000,2010-01-07 00:54:47.520000,9,9403031453,6
69,89,2010-01-07 01:03:56.160000,2010-01-07 02:34:56.160000,10,4702097588,12
70,102,2010-01-07 03:10:04.800000,2010-01-07 04:56:04.800000,1,6812127791,5
71,85,2010-01-07 05:16:13.440000,2010-01-07 06:52:13.440000,2,9806088487,3
72,81,2010-01-07 07:22:22.080000,2010-01-07 08:53:22.080000,3,5209131129,10
73,98,2010-01-07 09:28:30.720000,2010-01-07 11:26:30.720000,4,0012278051,2
